favorite_count,retweet_count,tweet_id
38826,8594,892420643555336193
33259,6316,892177421306343426
25056,4192,891815181378084864
42206,8707,891689557279858688
40353,9480,891327558926688256
20239,3137,891087950875897856
11863,2088,890971913173991426
65598,19056,890729181411237888
27786,4301,890609185150312448
31963,7475,890240255349198849
30677,7394,890006608113172480
27814,5008,889880896479866881
48168,10146,889665388333682689
27184,4582,889638837579907072
15110,2254,889531135344209921
25323,5478,889278841981685760
29107,4533,888917238123831296
25613,4381,888804989199671297
19929,3613,888554962724278272
21775,3522,888078434458587136
30221,5437,887705289381826560
46273,11757,887517139158093824
69183,18388,887473957103951883
33731,10492,887343217045368832
30566,6007,887101392804085760
35185,7829,886983233522544640
12085,3323,886736880519319552
22449,4506,886680336477933568
21153,3204,886366144734445568
116,4,886267009285017600
28010,6341,886258384151887873
0,104,886054160059072513
32739,6868,885984800019947520
36034,6492,885528943205470208
20447,3792,885518971528720385
0,18731,885311592912609280
21971,4415,885167619883638784
77639,18601,884925521741709313
27962,5836,884876753390489601
24322,4911,884562892145688576
27012,5698,884441805382717440
73103,20624,884247878851493888
20403,3012,884162670584377345
21923,3478,883838122936631299
46014,10045,883482846933004288
22579,3712,883360690899218434
37255,6735,883117836046086144
23974,3957,882992080364220416
28351,4968,882762694511734784
27921,6152,882627270321602560
45020,11712,882268110199369728
29400,5037,882045870035918850
24326,3423,881906580714921986
50606,10780,881666595344535552
128,7,881633300179243008
49525,16146,881536004380872706
23099,5200,881268444196462592
17018,2804,880935762899988482
21323,3857,880872448815771648
28562,6351,880465832366813184
27110,4277,880221127280381952
27659,4401,880095782870896641
22334,3533,879862464715927552
314,10,879674319642796034
23436,3218,879492040517615616
106035,44641,879415818425184262
16783,3153,879376492567855104
0,6917,879130579576475649
22622,4769,879050749262655488
18992,2723,879008229531029506
19401,4170,878776093423087618
30326,7324,878604707211726852
0,1310,878404777348136964
0,6733,878316110768087041
7769,1310,878281511006478336
42102,6917,878057613040115712
80123,19402,877736472329191424
0,81,877611172832227328
22798,3875,877556246731214848
27404,5238,877316821321428993
27198,5670,877201837425926144
20715,3409,876838120628539392
23488,4670,876537666061221889
18811,2436,876484053909872640
27992,4758,876120275196170240
25257,4354,875747767867523072
21985,4992,875144289856114688
27489,6132,875097192612077568
25548,4786,875021211251597312
27929,4712,874680097055178752
0,15009,874434818259525634
26136,4180,874296783580663808
22726,4019,874057562936811520
34820,10643,874012996292530176
24354,4014,873580283840344065
0,1615,873337748698140672
7298,1615,873213775632977920
27512,5502,872967104147763200
14796,3762,872820683541237760
0,28,872668790621863937
20897,3779,872620804844003328
40920,9180,872486979161796608
34446,6458,872261713294495745
34661,8290,872122724285648897
38303,11463,871879754684805121
20396,3550,871762521631449091
20365,3526,871515927908634625
0,5810,871166179821445120
21074,5606,871102520638267392
22839,3886,871032628920680449
33925,6367,870804317367881728
120,3,870726314365509632
12549,2712,870656317836468226
83469,26888,870374049280663552
22026,4258,870308999962521604
37048,8575,870063196459192321
42860,10324,869772420881756160
28575,6499,869702957897576449
16169,3219,869596645499047938
20674,3900,869227993411051520
66495,14946,868880397819494401
0,2159,868639477480148993
27608,5942,868622495443632128
10312,2159,868552278524837888
24514,4305,867900495410671616
34499,7563,867774946302451713
16408,2597,867421006826221569
0,131,867072653475098625
32774,8149,867051520902168576
20443,5001,866720684873056260
19681,3614,866686824827068416
124476,36528,866450705531457537
53574,15009,866334964761202691
0,8676,866094527597207552
26083,5809,865718153858494464
26994,5190,865359393868664832
28551,7954,865006731092295680
32970,9048,864873206498414592
14922,3163,864279568663928832
30820,9299,864197398364647424
21066,4301,863907417377173506
